distance_hips,distance_leftkneehip,distance_rightkneehip,distance_leftkneeheel,distance_rightkneeheel,distance_leftheelindex,distance_rightheelindex,distance_hips_anomalien,distance_leftkneehips_anomalien,distance_rightkneehips_anomalien,distance_leftkneeheel_anomalien,distance_rightkneeheel_anomalien,distance_leftheelindex_anomalien,distance_rightheelindex_anomalien
0.1009243759202199,0.1531795026072273,0.1326811661407623,0.1437572997665045,0.2677695332613229,0.1309267360851295,0.0833404822073381,0,0,0,0,0,0,0
0.1016570586733251,0.1473466378794055,0.1330773787550112,0.1440489138594266,0.265910233504055,0.1279137055954848,0.0801151348009668,0,0,0,0,0,0,0
0.1037610219631509,0.1447985657131074,0.1322260546273897,0.1458854004307606,0.2702909866035114,0.1320610000920098,0.0799984059599781,0,0,0,0,0,0,0
0.1057066535633515,0.1444411404404565,0.1318576739891532,0.1524703279680504,0.2594883999603956,0.1335715975785574,0.0819559431290642,0,0,0,0,0,0,0
0.1073527136245109,0.1423534293507631,0.1306342421693097,0.1578561386802785,0.2318953898278573,0.1345715911584498,0.0916384946351612,0,0,0,0,0,0,0
0.1081735271982219,0.1432692609468853,0.1308277496444515,0.1650027343216243,0.2098573241471852,0.1341956585502363,0.1054856595146468,0,0,0,0,0,0,0
0.1090263603669325,0.1447000870851842,0.1328665993141166,0.1783142035680099,0.1830473646472975,0.1288574387295993,0.1160702672050958,0,0,0,0,0,0,0
0.1080370213710293,0.1469538392787034,0.1329766637489239,0.18136399878449,0.1642580164006297,0.1177953919848863,0.1022771179193563,0,0,0,0,0,0,0
0.1071554140271205,0.1515500300307876,0.1392072963879896,0.1899829851126527,0.1702771776463247,0.1235170229097898,0.1202648861330441,0,0,0,0,0,0,0
0.1069530985132858,0.1589866645700922,0.1377233876909887,0.1624062540120738,0.1710979375270616,0.106876057066296,0.0977023864617195,0,0,0,0,0,0,0
0.1070796433754981,0.1555549415379981,0.1385592576786659,0.1690685411154908,0.1617399307196051,0.1124970431053835,0.1386009215840576,0,0,0,0,0,0,0
0.1071834593581393,0.1322277659646724,0.1365776495347422,0.1525041935041717,0.1751772580716113,0.1182184634424523,0.1592615697571387,0,0,0,0,0,0,0
0.1074967666727635,0.1386248356840268,0.1339473553738465,0.1694663146714612,0.1480941876834157,0.109008979481058,0.1737239611628553,0,0,0,0,0,0,1
0.1080589155743497,0.1499249286135958,0.139992491648758,0.172265003331992,0.1463281224445582,0.1014315618542231,0.1487390563161671,0,0,0,0,0,0,0
0.1077673747491679,0.145464866543232,0.1401584653104212,0.1843526096596084,0.1482165373533981,0.1064214031582501,0.1477820970863614,0,0,0,0,0,0,0
0.1074449745580199,0.1411487783321692,0.1403730953757636,0.1986681200960184,0.1441760607874003,0.1133649115966357,0.1507478764995409,0,0,0,0,0,0,0
0.1072679213713582,0.1482315225071771,0.1408621054964098,0.198987641556259,0.1466069538824273,0.0968651899202892,0.1263113586034848,0,0,0,0,0,0,0
0.1079958604828257,0.1474687561559862,0.1412279936459055,0.2125726869162766,0.1433680503804166,0.1079341792082099,0.1200654075590526,0,0,0,0,0,0,0
0.1125363387168143,0.1484267571504162,0.1374061875523937,0.2274718311034392,0.1423986385551689,0.1193015656632911,0.1246387379224629,0,0,0,0,0,0,0
0.1090655501767462,0.1471801629331239,0.1379261022149293,0.2434288925941826,0.1458842413402412,0.1190225606401384,0.1242891938686796,0,0,0,0,0,0,0
0.1086588365620303,0.1410397125905638,0.1369818836182661,0.2505632643019083,0.1458836856103843,0.1025911057812626,0.1373793025292786,0,0,0,0,0,0,0
0.1074935615410834,0.135547023492699,0.1329406611830507,0.2739692426306417,0.1481976922931115,0.1224564903126568,0.1108648424739722,0,0,0,0,0,0,0
0.1013692183171979,0.1385837664628005,0.132981626035858,0.1886839529878715,0.1738130444290776,0.1197254574731352,0.1223457465446172,0,0,0,0,0,0,0
0.0603965737128754,0.1534342964501474,0.1332943402993084,0.1590903058403912,0.2284413242746804,0.115388668427733,0.1456636593237912,1,0,0,0,0,0,0
0.0635791566138998,0.1548694506333082,0.1346438132122417,0.1728226000715992,0.1864869538752334,0.1085331547321711,0.1090141819679013,1,0,0,0,0,0,0
0.0776895441597977,0.1525029687209761,0.13453686854674,0.2099138115974356,0.1716659496438924,0.1195941941654412,0.1071880852823928,1,0,0,0,0,0,0
0.08938795187748,0.1568713447581811,0.1324851660480935,0.2039877274118681,0.1702662337772501,0.0925828364351088,0.1163690876778465,1,0,0,0,0,0,0
0.0984866618353987,0.1573124032743512,0.1315492855581426,0.1845724438873667,0.1585882523576673,0.1075222188305832,0.1173263436000277,0,0,0,0,0,0,0
0.1031037844744992,0.1610059775812576,0.1326123710551407,0.164119213937347,0.160264675081535,0.1165683267545603,0.1033811414327125,0,0,0,0,0,0,0
0.1063942527555726,0.1600255119907443,0.1356121581993385,0.1627945704371732,0.1603194743226117,0.1204161844916785,0.0864480688204303,0,0,0,0,0,0,0
0.1088004244478099,0.156445723008673,0.1390883008463967,0.1497831218281675,0.1641101271091952,0.1201486562462198,0.0891615984547354,0,0,0,0,0,0,0
0.1094268978643127,0.1550571395104029,0.1409121588407281,0.140333900958712,0.1706971579099802,0.1148408571513967,0.0978856372886199,0,0,0,0,0,0,0
0.1116038922570744,0.1520653215153575,0.1441465971221451,0.1338735954437928,0.1773657890936281,0.1096619841776086,0.0897868818372785,0,0,0,0,0,0,0
0.1119511667710732,0.1502059195133886,0.1455007384799941,0.1337196978910367,0.1877704887134022,0.1067637912870777,0.09595614476392,0,0,0,0,0,0,0
0.1123135377992638,0.1486170654690685,0.1439619002838248,0.13577490806447,0.1964770836170492,0.1048888172709806,0.0914158718677489,0,0,0,0,0,0,0
0.1115516822473477,0.1481642077839184,0.1420596200960568,0.1309251565798346,0.2083281170475341,0.0956095692658343,0.0992735196354636,0,0,0,0,0,0,0
0.1118043249252801,0.1464142610534973,0.1395040187392506,0.1335852171042797,0.226276734040842,0.0988273634249982,0.1129897460032325,0,0,0,0,0,0,0
0.1098093991656463,0.1464474923049196,0.1427366348113736,0.1319035984236888,0.2397463504848057,0.1006905075271098,0.116606905537867,0,0,0,0,0,0,0
0.1044949993060327,0.14718673155545,0.1435177775848274,0.1384057234263078,0.2464378046651223,0.1013358813277582,0.1008689110174807,0,0,0,0,0,0,0
