,Unnamed: 0,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
1057,1057.0,0.4923821687698364,0.4569689697533284,-0.14505803957581515,0.9997766315937042,0.5639588534832001,0.4565293353948159,0.14472788944840428,0.999537855386734,0.45927008986473083,0.6115466761635359,-0.06118780560791495,0.9877784550189972,0.5333155989646912,0.6098925108617206,0.2403627038002014,0.833225816488266,0.5715993642807007,0.7357179075314123,0.0533248297870159,0.9848299026489258,0.5342844426631927,0.7596665821911625,0.3360406458377838,0.8918792009353638,0.609831839799881,0.749212791367985,0.06440106220543386,0.9748669564723969,0.5536077320575714,0.7867317035976181,0.34139296412467957,0.883394867181778,0.5333244800567627,0.7852922091208869,0.0046907290816307,0.9644597470760345,0.4678228199481964,0.7840385160488506,0.2716556042432785,0.882198840379715
1058,1058.0,0.4937264770269394,0.4498198098450338,-0.12361873313784595,0.9997562170028687,0.5726184844970703,0.44971644999118277,0.1234895288944244,0.9995211660861968,0.4493078738451004,0.6077766823814924,-0.04443265870213511,0.9879641234874725,0.5554755628108978,0.609802984685268,0.2180271595716476,0.8180407881736755,0.5374138355255127,0.739263072593363,0.07318351604044435,0.9826561510562896,0.5547899305820465,0.7586441837193302,0.32859025895595545,0.8740662038326263,0.5634220987558365,0.7627941567148936,0.08136937022209165,0.974902719259262,0.5795831382274628,0.784468783456398,0.3338138163089752,0.8736575841903687,0.4819106012582779,0.7781914779864723,0.008351620286703103,0.9615530371665955,0.502183735370636,0.7836219987911601,0.24866503477096555,0.8655984699726105
1059,1059.0,0.49478474259376526,0.444804257801119,-0.1140823662281036,0.9997223019599915,0.5760160088539124,0.44555959226222464,0.1139138601720333,0.9994817972183228,0.44657638669013977,0.6065521347569044,-0.03663889691233635,0.9876320362091064,0.5673765540122986,0.6101047630017657,0.19898182153701777,0.8088563978672028,0.5157070755958557,0.7510796636177618,0.06583221070468424,0.9808705449104309,0.5650036633014679,0.7630730770470432,0.29409345984458923,0.8677949011325836,0.5302112698554993,0.7760403055395854,0.07250811345875266,0.9743347764015198,0.5811176002025604,0.7910805180850754,0.2966194748878479,0.8692982494831085,0.45215351879596705,0.7771976301394874,-0.0005206279456615517,0.9591167867183685,0.5039735287427902,0.7878954730076213,0.20146587491035461,0.857292115688324
1060,1060.0,0.4939115196466446,0.44551741247469534,-0.09833377040922635,0.9996549189090729,0.5799484252929688,0.44630496324630203,0.09807167947292325,0.9994059205055238,0.44264020025730133,0.6021999824093397,0.0078030712902546,0.985580563545227,0.5896233916282654,0.6110122735207935,0.1774759218096733,0.8001880645751953,0.4635807126760483,0.7524842768742163,0.14345359895378348,0.9769876003265381,0.5871245563030243,0.7686518929840854,0.2512531578540802,0.8604027926921844,0.4765477031469345,0.7787319916929972,0.15193618508055803,0.970333993434906,0.6019695103168488,0.8005190327945481,0.2529071122407913,0.8649192750453949,0.39948247373104095,0.765282065602439,0.0739794969558716,0.9501283168792725,0.533560186624527,0.7856649181885142,0.15649285167455668,0.843190461397171
1061,1061.0,0.49420033395290375,0.4464345044403707,-0.07930905593093485,0.999622255563736,0.5845546722412109,0.44766160966487356,0.07905496691819279,0.9993897676467896,0.4426702708005905,0.6035882341908033,0.06139963120222095,0.982125848531723,0.6035122573375702,0.6140260631745715,0.14387429505586619,0.8003811836242676,0.4230907261371612,0.7511020153595526,0.2119306370150298,0.9742017984390259,0.6118220388889313,0.7757370375038913,0.19911680370569224,0.8620658814907074,0.4295578896999359,0.7796984512057078,0.22055304795503614,0.9664554297924042,0.6282193064689636,0.8047249451461563,0.2006116211414337,0.8672313392162323,0.36276528239250183,0.7538485834323341,0.14451973140239716,0.9424025118350983,0.5791138112545013,0.7910688540977855,0.11182072944939131,0.8374933302402496
1062,1062.0,0.4976935386657715,0.4487167811899816,-0.06899110320955515,0.9995763599872588,0.5817537009716034,0.4503780317458672,0.06871526315808295,0.999374896287918,0.4434313029050827,0.6053031194256361,0.09736955538392064,0.9765336513519287,0.6171242296695709,0.6195635134881396,0.11785502731800075,0.8036875128746033,0.3986571431159973,0.7499411851002294,0.25568973645567894,0.9702962636947632,0.6334252059459686,0.7826766572834781,0.15384290553629396,0.866124302148819,0.3994384855031967,0.7785601515021098,0.2631278848275542,0.9618073105812073,0.6482498943805695,0.8084044590774307,0.15454999357461924,0.8718232214450836,0.3408719897270202,0.7447277912818366,0.1841924637556076,0.9310939311981201,0.6036383211612701,0.8003136239094157,0.06785775348544121,0.8332944810390472
1063,1063.0,0.49841661751270294,0.45582992499167074,-0.06632630433887245,0.9995234310626984,0.5892959237098694,0.45652601243586965,0.06600369606167081,0.9993541538715363,0.43978819251060486,0.6075189220951612,0.12184261158108711,0.973237007856369,0.6317281126976013,0.6243053312009235,0.1204940332099795,0.8129518926143646,0.3860220313072204,0.7498986571861822,0.2869036556221544,0.9671263992786407,0.6547704935073853,0.7850728832127384,0.16446562111377716,0.8724057972431183,0.383152112364769,0.7787990469183695,0.2965853991918266,0.958319753408432,0.6755819320678711,0.8104721740070114,0.16974282078444955,0.8776516914367676,0.3295048773288726,0.7367355236731941,0.2263869605958462,0.9195404052734375,0.6159367859363556,0.8054030261082072,0.0978862587362528,0.8297967612743378
1064,1064.0,0.498808890581131,0.46349467997843374,-0.06600353494286536,0.9994767606258392,0.588368684053421,0.4639618408832116,0.0656503876671195,0.9993399679660797,0.43606172502040863,0.6098592984722669,0.1569301914423704,0.9697437286376953,0.6402523219585419,0.6275251145070453,0.1405870001763105,0.8228659331798553,0.38667963445186615,0.7490599602295477,0.3609240800142288,0.963273286819458,0.6716162264347076,0.7868097625614933,0.21427107788622377,0.8793009221553802,0.3870537430047989,0.7783000666346324,0.3757980391383171,0.954855054616928,0.691189169883728,0.8119589522662888,0.221240684390068,0.884596198797226,0.3335585221648216,0.7357700774394447,0.3103866539895534,0.9061068594455719,0.6350135505199432,0.8087127528232951,0.14966186136007312,0.8273050785064697
1065,1065.0,0.49799539148807526,0.47129490142161,-0.0698853163048625,0.999442845582962,0.58866947889328,0.46972513319583364,0.06957743782550099,0.99934321641922,0.4334613978862762,0.6109465765999372,0.1564936563372612,0.9670358002185822,0.644330769777298,0.6327356929486652,0.1593068782240152,0.8331550061702728,0.4001692086458206,0.7496351450516302,0.37381983548402786,0.9610376954078674,0.6885816752910614,0.7868013285042575,0.23895171284675595,0.8870725631713867,0.40387924015522003,0.7757897276129496,0.3909943401813507,0.9525288045406342,0.7068638801574707,0.8103718295875321,0.24513608589768404,0.8916425704956055,0.3536893725395202,0.742365510197776,0.33768751285970205,0.8996296525001526,0.654107391834259,0.8082700989288707,0.1754114925861358,0.8314501345157623
1066,1066.0,0.49774084985256195,0.47530855899149527,-0.07987072598189116,0.9994175136089325,0.5792569518089294,0.47318649412723013,0.0795446690171957,0.9993529319763184,0.43327212333679194,0.6121000456856306,0.15600302442908287,0.9638117551803589,0.6315307021141052,0.6326137418454547,0.15900942683219904,0.840569019317627,0.41206285357475275,0.7528683990074713,0.36380887031555176,0.9595046937465668,0.6966301500797272,0.777594199025803,0.2263501621782779,0.893805742263794,0.41985708475112915,0.7776996690478098,0.37841908633708954,0.9498883485794067,0.7176269292831421,0.7997213140311966,0.23217019811272618,0.8976287245750427,0.3620189875364303,0.7511065611564094,0.3069994263350963,0.8956825435161591,0.6834478080272675,0.8054035327476878,0.1708280751481652,0.8358694314956665
