,LEFT_HIP_x_back,RIGHT_HIP_x_back,LEFT_KNEE_x_back,RIGHT_KNEE_x_back,LEFT_ANKLE_x_back,RIGHT_ANKLE_x_back,LEFT_HEEL_x_back,RIGHT_HEEL_x_back,LEFT_FOOT_INDEX_x_back,RIGHT_FOOT_INDEX_x_back,LEFT_HIP_x_site,RIGHT_HIP_x_site,LEFT_KNEE_x_site,RIGHT_KNEE_x_site,LEFT_ANKLE_x_site,RIGHT_ANKLE_x_site,LEFT_HEEL_x_site,RIGHT_HEEL_x_site,LEFT_FOOT_INDEX_x_site,RIGHT_FOOT_INDEX_x_site,LEFT_HIP_y_combined,RIGHT_HIP_y_combined,LEFT_KNEE_y_combined,RIGHT_KNEE_y_combined,LEFT_ANKLE_y_combined,RIGHT_ANKLE_y_combined,LEFT_HEEL_y_combined,RIGHT_HEEL_y_combined,LEFT_FOOT_INDEX_y_combined,RIGHT_FOOT_INDEX_y_combined
1073,0.4958983957767486,0.6130393147468567,0.4981482625007629,0.5867586731910706,0.5067728757858276,0.5753799080848694,0.5080482363700867,0.5763353705406189,0.4910407066345215,0.5545280575752258,0.3597890436649322,0.3749077618122101,0.261350005865097,0.3587899506092071,0.3893180191516876,0.4105544090270996,0.4234581589698791,0.443830281496048,0.3108921647071838,0.3277735710144043,0.4670113154607396,0.46664514623326003,0.5983343341374371,0.6032894035588359,0.7201273014952949,0.7364487380913969,0.743326669875181,0.7592579830566072,0.7483450775670425,0.7554953189424087
1074,0.4953930974006653,0.6134733557701111,0.4979596138000488,0.5874294638633728,0.5066770911216736,0.5769560933113098,0.5077527165412903,0.5767149329185486,0.4890277981758117,0.5554836392402649,0.3613521456718445,0.3847613334655761,0.250758945941925,0.3846278190612793,0.3466074764728546,0.4249363243579864,0.3784222304821014,0.447426825761795,0.2665233314037323,0.330018401145935,0.46624560439163254,0.46594702683132827,0.5962198891663525,0.6049437900792216,0.7224847546031288,0.7401817769936796,0.7459699272547129,0.7657951820769929,0.7442619805859939,0.7545753808549454
1075,0.4951201379299164,0.6129629611968994,0.4977298974990845,0.5893004536628723,0.5013177990913391,0.5776479244232178,0.5030404329299927,0.5764209032058716,0.4862051606178283,0.5578182339668274,0.3612161576747894,0.3927651643753052,0.2432307451963424,0.4058588743209839,0.273148775100708,0.4626579582691192,0.3014685213565826,0.4870094656944275,0.1893354207277298,0.3744742274284363,0.4647341498094182,0.46469701312226,0.5958810665631268,0.6058181604157542,0.7281165590693763,0.7444959909848448,0.7534374653730753,0.770198862639966,0.7412437503861801,0.7554392905763199
1076,0.4948363006114959,0.6111423373222351,0.497531920671463,0.5908039212226868,0.4985474646091461,0.5776268243789673,0.5014398694038391,0.5760826468467712,0.4855274856090545,0.5870512127876282,0.3639754056930542,0.3984506130218506,0.2426454573869705,0.4228120744228363,0.2309242337942123,0.4904096126556396,0.249965101480484,0.5172509551048279,0.1402866691350937,0.402440994977951,0.4645480492072682,0.464560950619399,0.5968599238419506,0.6078699907075023,0.7297390571048072,0.7496436865262266,0.7558177172575358,0.7735785056033754,0.7354704146909133,0.7586120458177139
1077,0.4947621524333954,0.6110888123512268,0.4967710673809051,0.5915340185165405,0.4932008981704712,0.5784286260604858,0.4941882789134979,0.5758848190307617,0.4887257218360901,0.6027460694313049,0.3645801842212677,0.4021739661693573,0.2457893937826156,0.4382441937923431,0.186593547463417,0.5159526467323303,0.1995673775672912,0.5469349026679993,0.083652026951313,0.4302896559238434,0.46590824210220383,0.4655665107790822,0.5977910974049542,0.6095247050534343,0.7259315421988777,0.7519045801095243,0.7512362658415201,0.7745764959731721,0.7249707882928268,0.7600976617864181
1078,0.4945719540119171,0.6109471321105957,0.496654599905014,0.5924856066703796,0.4900991320610046,0.5805710554122925,0.4891281127929687,0.5758902430534363,0.4918450117111206,0.610940158367157,0.3661634922027588,0.4028761982917785,0.2504754662513733,0.4491811394691467,0.1812475025653839,0.5435508489608765,0.1894088834524154,0.57204669713974,0.0809614583849906,0.4595035910606384,0.4687239655213933,0.4678439446513051,0.5979801633381817,0.6098739584694957,0.7217412760665229,0.753717395775723,0.744105285349882,0.7758798111358308,0.719972611002864,0.7637140543988754
1079,0.4943321049213409,0.6096639633178711,0.497365653514862,0.5930840969085693,0.4905062019824981,0.5849331617355347,0.489300936460495,0.5799375772476196,0.4972015917301178,0.6116660833358765,0.367709219455719,0.4013727009296417,0.2495164424180984,0.4545985758304596,0.1743392050266266,0.567064642906189,0.1817740052938461,0.6019344329833984,0.0767653062939643,0.4893182814121246,0.4721295067029576,0.47094314776104634,0.5986817398095104,0.6104319175492381,0.7206391265799812,0.7532993287972685,0.743224656525648,0.774695556251111,0.715651333861293,0.7674153836301376
1080,0.4938863813877105,0.6075082421302795,0.500823438167572,0.5929912328720093,0.4997080564498901,0.5890538096427917,0.5040864944458008,0.5845817923545837,0.502763569355011,0.6050453782081604,0.3679173588752746,0.3995035886764526,0.2493708878755569,0.454938530921936,0.1835370510816574,0.5848676562309265,0.1903616935014724,0.6259549260139465,0.0761626064777374,0.5105006694793701,0.47479918384128617,0.4734166511122579,0.6018109240555737,0.61116848194705,0.7239486744811348,0.7516914338998075,0.7474086641703013,0.7729793895164155,0.7202238445805923,0.7720832021764328
1081,0.4909218549728393,0.6043715476989746,0.5014035701751709,0.5929157137870789,0.5074384212493896,0.592119574546814,0.5109254121780396,0.5887541770935059,0.508637011051178,0.6011696457862854,0.3621384501457214,0.3915697336196899,0.2477536797523498,0.4497453570365906,0.1901565641164779,0.599263608455658,0.2022953778505325,0.6413222551345825,0.074219062924385,0.5378466844558716,0.47726195835643814,0.4753331639592046,0.6077020385289166,0.6138870497952555,0.7341107299735359,0.7480394573144193,0.7561812161836985,0.7673657048621797,0.7277433877515213,0.7726425619653274
1082,0.4875659644603729,0.5997883081436157,0.5011122822761536,0.5939321517944336,0.5102951526641846,0.5941465497016907,0.5127237439155579,0.5888980627059937,0.5116112232208252,0.602049708366394,0.3585532009601593,0.3676621317863464,0.2566063702106476,0.439032107591629,0.2009738534688949,0.5979196429252625,0.2169197499752044,0.6402809023857117,0.0930286645889282,0.562655508518219,0.47942067467742966,0.47751777849835103,0.6082524278187725,0.6163409730206584,0.7360836139132789,0.740831437819409,0.7570514737997416,0.7564996887126588,0.7332941000985519,0.7735322208932449
