,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
830,0.4632311761379242,0.4579557180404663,0.01307383831590414,0.996863842010498,0.5758181810379028,0.4581000506877899,-0.013324227184057236,0.997349202632904,0.47808894515037537,0.594542920589447,0.16201570630073547,0.9478114247322083,0.5648034811019897,0.6022743582725525,0.009443498216569424,0.9524889588356018,0.48641374707221985,0.7155290842056274,0.29460203647613525,0.9533219337463379,0.5561680793762207,0.7476862072944641,0.014938907697796822,0.9471643567085266,0.4861880838871002,0.7341101169586182,0.3018902838230133,0.9465180039405823,0.5503235459327698,0.7597151398658752,0.014643588103353977,0.9158464074134827,0.4899483621120453,0.7291940450668335,0.2342471331357956,0.858734130859375,0.5779799818992615,0.7752047181129456,-0.056200891733169556,0.8189085125923157
831,0.46090441942214966,0.4599002003669739,-0.005176951177418232,0.9967204928398132,0.5727066397666931,0.45980823040008545,0.005095472559332848,0.9971688389778137,0.4733838737010956,0.5958368182182312,0.07856416702270508,0.9463373422622681,0.563575804233551,0.6027253270149231,0.02565225586295128,0.9513616561889648,0.4862360656261444,0.7166040539741516,0.1270131766796112,0.952815055847168,0.5646880865097046,0.7436246275901794,0.04884281009435654,0.9447423219680786,0.4861892759799957,0.7348056435585022,0.12925270199775696,0.9461155533790588,0.5564020872116089,0.7570773959159851,0.05066867917776108,0.910384476184845,0.4890037178993225,0.744381844997406,0.08304613083600998,0.8606763482093811,0.5766099095344543,0.7804364562034607,-0.0063934242352843285,0.8164663314819336
832,0.4611310660839081,0.46726518869400024,-0.0036795444320887327,0.9967283606529236,0.5637151002883911,0.46732428669929504,0.003546360181644559,0.9970556497573853,0.4746881425380707,0.6039402484893799,0.0833592414855957,0.9462552070617676,0.5563367009162903,0.605574369430542,0.03238637372851372,0.948879063129425,0.48741912841796875,0.7217682003974915,0.13538230955600739,0.953648567199707,0.5639677047729492,0.7391035556793213,0.09627397358417511,0.9430996775627136,0.48742878437042236,0.7404165267944336,0.13759316504001617,0.9458194375038147,0.5562905073165894,0.7553090453147888,0.10139776021242142,0.9045112133026123,0.48955321311950684,0.7645598649978638,0.08561544120311737,0.8655261397361755,0.5734215378761292,0.7792947888374329,0.04061146453022957,0.8198208808898926
833,0.4577760398387909,0.47885605692863464,-0.01568915881216526,0.996866762638092,0.5645759105682373,0.4800568222999573,0.015406472608447075,0.9970149993896484,0.47202783823013306,0.6096698641777039,0.0924198254942894,0.9467625021934509,0.5561057329177856,0.6085216999053955,0.13027039170265198,0.943648099899292,0.48731932044029236,0.7259789705276489,0.11897183209657669,0.9544463157653809,0.564395010471344,0.7291457056999207,0.1797047108411789,0.9383641481399536,0.48676154017448425,0.7467514872550964,0.11963160336017609,0.9473189115524292,0.5561021566390991,0.7445076704025269,0.18531951308250427,0.8989088535308838,0.48900774121284485,0.7603599429130554,0.08282695710659027,0.8686563372612,0.5714659094810486,0.7668904066085815,0.16320650279521942,0.8160732388496399
834,0.45753082633018494,0.48658499121665955,-0.015008834190666676,0.9970977902412415,0.5641387104988098,0.4882451891899109,0.01469231303781271,0.9971344470977783,0.47191810607910156,0.6140331625938416,0.13267359137535095,0.9491209387779236,0.5540041923522949,0.6100019216537476,0.19906462728977203,0.9414670467376709,0.4872070252895355,0.7330159544944763,0.22785289585590363,0.956577479839325,0.5644766688346863,0.7242038249969482,0.35329097509384155,0.9367626309394836,0.48654690384864807,0.7572417855262756,0.23606263101100922,0.9493247866630554,0.5564860105514526,0.742465615272522,0.3706682026386261,0.8957488536834717,0.4906946122646332,0.7594364285469055,0.20495592057704926,0.8752754926681519,0.5714249014854431,0.7584985494613647,0.36259764432907104,0.8193074464797974
835,0.4574137330055237,0.4890141487121582,-0.02641386166214943,0.9973282217979431,0.5638258457183838,0.4888966679573059,0.026117179542779922,0.9972614645957947,0.471190482378006,0.6173282265663147,0.08869808167219162,0.9528001546859741,0.5537785887718201,0.6100831627845764,0.21344536542892456,0.9413331747055054,0.4869895577430725,0.7394219040870667,0.1113419160246849,0.9595643877983093,0.5644828081130981,0.7220093607902527,0.33935678005218506,0.9373403191566467,0.4865809679031372,0.7634510397911072,0.11358717828989029,0.9528795480728149,0.556526780128479,0.7408268451690674,0.3546002507209778,0.8963575959205627,0.4906032979488373,0.7648416757583618,0.08354776352643967,0.8818269968032837,0.5708602070808411,0.7521205544471741,0.35658130049705505,0.8226425647735596
836,0.4568422734737396,0.4895073473453522,-0.022379577159881592,0.9975636601448059,0.5642109513282776,0.48843079805374146,0.022093158215284348,0.9974117279052734,0.4709815979003906,0.6205270886421204,0.09348249435424805,0.956488847732544,0.5538780093193054,0.6098753213882446,0.2533946931362152,0.9405906796455383,0.487112432718277,0.7462347745895386,0.09902063757181168,0.9620108008384705,0.5643334984779358,0.7196175456047058,0.415851891040802,0.9358137249946594,0.48692673444747925,0.7759504914283752,0.09933587908744812,0.9559402465820312,0.5571584105491638,0.7398043870925903,0.43599990010261536,0.8967403173446655,0.49116548895835876,0.7625653147697449,0.07113790512084961,0.8845713138580322,0.5649235844612122,0.7279897332191467,0.45681697130203247,0.8183385729789734
837,0.4579324424266815,0.48726969957351685,-0.02988516166806221,0.9977893829345703,0.5648142695426941,0.4867091774940491,0.029652277007699013,0.9975993633270264,0.4710359573364258,0.6203795075416565,0.0791345089673996,0.9605281352996826,0.5550374388694763,0.6062132120132446,0.3202490508556366,0.940060555934906,0.4867917001247406,0.7582493424415588,0.08283260464668274,0.9645145535469055,0.5636910796165466,0.7178154587745667,0.5365501642227173,0.9358144998550415,0.4863874018192291,0.7863961458206177,0.08458255976438522,0.9594976902008057,0.5566018223762512,0.7389838695526123,0.5621933937072754,0.90095454454422,0.49096155166625977,0.765308141708374,0.06008537486195564,0.8854112029075623,0.5563076734542847,0.7230443358421326,0.5888774394989014,0.8153076767921448
838,0.45969927310943604,0.48136669397354126,-0.040086742490530014,0.9979922771453857,0.5686815977096558,0.477804034948349,0.03999657183885574,0.997769832611084,0.47537490725517273,0.618994414806366,-0.0118490569293499,0.9641906023025513,0.5571855902671814,0.5989624261856079,0.30802544951438904,0.9364733695983887,0.4863608479499817,0.7616056799888611,-0.040841225534677505,0.9667948484420776,0.5636020302772522,0.714641809463501,0.549151599407196,0.9321324229240417,0.4850616455078125,0.7887247800827026,-0.04210219532251358,0.9626696705818176,0.5565862059593201,0.7342199087142944,0.576500654220581,0.9009674191474915,0.490803986787796,0.7720591425895691,-0.07616893202066422,0.8868152499198914,0.5492410659790039,0.7202595472335815,0.5940307378768921,0.8042809367179871
839,0.46406033635139465,0.4721837043762207,-0.04090728238224983,0.9981775283813477,0.5734095573425293,0.4686638414859772,0.040647465735673904,0.997945249080658,0.48086440563201904,0.6155331134796143,0.008901180699467659,0.967573344707489,0.5599349141120911,0.593735933303833,0.29069948196411133,0.9366245269775391,0.48655518889427185,0.7609084844589233,0.0018895601388067007,0.9688956141471863,0.5626549124717712,0.7127093076705933,0.5100571513175964,0.9321137070655823,0.4851509928703308,0.788165807723999,0.000821783090941608,0.9656075239181519,0.5564046502113342,0.7324515581130981,0.5335745215415955,0.9051710963249207,0.49266788363456726,0.7713347673416138,-0.042200010269880295,0.8886949419975281,0.5490981340408325,0.7131580114364624,0.5402204990386963,0.8026298880577087
