distance_hips,distance_leftkneehip,distance_rightkneehip,distance_leftkneeankle,distance_rightkneeankle,distance_leftkneeheel,distance_rightkneeheel,distance_leftankleindex,distance_rightankleindex,distance_leftheelindex,distance_rightheelindex
0.11695986319550881,0.16848831939855727,0.15234470864276467,0.13606253822079184,0.1680281420554109,0.15593477267133338,0.2030888463353108,0.0913700737346633,0.0926497490033376,0.1045860914108956,0.12010314649202782
0.11726015816173106,0.1690818351074405,0.15350389818728377,0.13813033567542468,0.1683909066624749,0.1561532667856105,0.2033194432112648,0.08631234967494002,0.08850155563535311,0.10037977028109023,0.1160311165703105
0.11641912534743273,0.16735982991278198,0.1552597703207074,0.1369711396100506,0.17614188688722837,0.15263859746572656,0.21511085990815199,0.0895676075369628,0.08059372651776323,0.10717331624398384,0.11322459867319065
0.11577634681878152,0.1671049642603888,0.1568091219090767,0.13237269761739973,0.18526496668775064,0.1504443726386319,0.23165124712290117,0.09006505748555613,0.0697834445086018,0.10673551646170078,0.10987585342933351
0.11462399915121259,0.162704539667871,0.15712120072688765,0.12836897351365048,0.19600243208452403,0.14789996224226107,0.24373194492927722,0.09953087470007971,0.05407040559453719,0.11950498093225057,0.09275370965745139
0.11327956363452132,0.15592162847750896,0.15249470037224713,0.12938648680946127,0.20405139120611163,0.14872431876971792,0.2499621677766181,0.09156988836506963,0.04896019793364186,0.11450368325670937,0.08074121942409403
0.11326462451242779,0.1496728140412184,0.14334340601348652,0.12668026456510043,0.22797851646067704,0.14765701125582176,0.2666091618294147,0.09475167728893788,0.05371797575837334,0.11675921796143122,0.07459258930450215
0.11348888381131077,0.1449521627606178,0.13553787004845888,0.12961410476071056,0.22702395405047401,0.15214818616888404,0.27395145398915793,0.11027828540396108,0.047804773960478435,0.1310700659810804,0.06529488983053895
0.11439057063300699,0.1445377143366393,0.134600350947267,0.13342710204893332,0.21387943783224955,0.1596357896540238,0.26109729451857083,0.1028174763649396,0.04107808042439951,0.12903637330817974,0.060595330470750504
0.1145497004533889,0.14754182444389227,0.13666407605172629,0.13739119730524607,0.18156293258380224,0.1666522113522659,0.22011626778656782,0.10041735101567295,0.07441390396280183,0.12824652015988736,0.10654429875732774
0.11486332667693257,0.14782282855230405,0.13407792013521483,0.15088712403114632,0.14954934950247842,0.184480632218617,0.1883409025770139,0.07820007684980061,0.07304694766018142,0.11036417797163625,0.10951859571274096
0.11535383576121708,0.1442183492936742,0.13417789316357787,0.15225780070646974,0.14451578595599826,0.18542867096087073,0.17812471141023126,0.09278495788608786,0.0855278060377271,0.12037041994657496,0.11534330105446351
0.1154127377804341,0.14234127089582288,0.133854783661685,0.15866529704565766,0.13548501723153966,0.19344720678636143,0.16636912547887087,0.09800784631405446,0.0919896789314475,0.12632421506444838,0.12118378938440647
0.11685844761716069,0.14555969258383059,0.13274670814879908,0.1606502413128666,0.13609458402572738,0.20052973819449557,0.1639478398647214,0.10667039564076365,0.10185348500022416,0.14100581711828547,0.13172574412273488
0.11626271247517306,0.1512586538863288,0.13298622827118303,0.15855988839752302,0.13464022833602107,0.19618233820622724,0.1624954143176966,0.09661768999210366,0.06803960956251437,0.12723373721913728,0.0995804020596846
0.11297693668049894,0.1482348005624599,0.1520018790866488,0.1610611319667472,0.14062081250943262,0.1938890785791484,0.15333710387083804,0.09599447538827316,0.10250761228823567,0.11931437710375958,0.12000437354001836
