distance_hips,distance_leftkneehip,distance_rightkneehip,distance_leftkneeheel,distance_rightkneeheel,distance_leftheelindex,distance_rightheelindex
0.13064196755104934,0.1676419971882181,0.15203469870178538,0.24071797958675656,0.27976177101593985,0.14103222133264626,0.07193957277464733
0.13113698437141114,0.16606281956089308,0.1518617015228664,0.26212665569965726,0.2808067709055768,0.14528599946472073,0.06931349473074157
0.13304574856069515,0.16454052409108524,0.15321719588762372,0.2610881396929687,0.266702381289241,0.12601311754989522,0.09654008180390652
0.13516100180645732,0.16049613212389233,0.15307788319822008,0.27031278163117484,0.243597441037177,0.12476757297704183,0.10849351227582325
0.135669903171351,0.15586366991643966,0.1614667075004443,0.27056497612580027,0.23626608452236816,0.15209269690563818,0.1265358685346638
0.13590508609115218,0.16686585494207662,0.17305610320867668,0.2648316195726482,0.2062192476623637,0.13352423755528545,0.12733391160612484
0.1359646157839166,0.17447931634817676,0.18075847266298992,0.26577800076803887,0.192866481610972,0.11429290154552076,0.12232253074558469
0.13571825835402712,0.17403654858052178,0.18028192790357714,0.2733088972950458,0.19180295249386747,0.09664157661221348,0.09040998173795917
0.1398888524833468,0.1686870982308135,0.17887044178099337,0.29539589402057753,0.19454233121046607,0.08019369992405134,0.11982356241727081
0.13966986490776104,0.16604845069641902,0.17857735928318516,0.30462420229128595,0.191769121163576,0.06267757981621461,0.11697069281742072
0.1352596232374193,0.16087100434682536,0.1746227765074222,0.33104333562957355,0.18624835930375397,0.07353599498099869,0.11872099316559231
0.13291291044052111,0.15948764147942085,0.16704265488913048,0.34447608996693985,0.18234857595909568,0.06850952526145253,0.11998728825023114
0.1000443066501806,0.1639598921364036,0.16412580627956816,0.34621612344244324,0.1872931131736172,0.07790226449672887,0.1563824543813792
0.1011719371261735,0.16916440281597414,0.16339709770825195,0.3417466446888842,0.21633838438036618,0.08115142910910852,0.1391623125683434
0.10851090546966288,0.1799517674117725,0.15997850025239574,0.3154333978581379,0.23205488654058382,0.09179069555938706,0.11173300521843173
0.11254988875505524,0.18474254175633423,0.16465182227267058,0.3022255239782655,0.23202926599679052,0.1175028841752538,0.12421842339541714
0.12000233118601268,0.1715362859570552,0.16289157366392332,0.3020071591148458,0.23762937440954646,0.13347258956131638,0.14263050633147803
0.12459431639134808,0.18487809969595492,0.17409275433662397,0.22646742575271364,0.2581625173676663,0.14553856916555438,0.1519719934137825
0.12678670510090903,0.18341597109452235,0.1783323088314567,0.2128834265789208,0.26465328660508686,0.13824630787747927,0.09915080596987812
0.12795156991929238,0.16027265397134227,0.17157539843119213,0.20273704382919172,0.2447908189065238,0.10359576760524243,0.15453486484832338
0.1286467500685616,0.1725540846221852,0.175227679637192,0.2110174960560061,0.2890086517356409,0.12254677432843349,0.0781680658316933
0.13040413726575728,0.17303458144911238,0.1704342378278505,0.2050068988267718,0.2874204992724489,0.14160124216026732,0.056202657307778625
0.13213961736699154,0.1706603436563127,0.16575094800504064,0.20555397981004153,0.28467024188938767,0.14457562886397998,0.05252685359349538
0.13384928849246527,0.16523872951562601,0.15923795085301123,0.2113389586622629,0.3000640947154813,0.0980107208510171,0.07492683685322976
0.1342252564938664,0.16473435611413784,0.15611427227855365,0.26461788404253084,0.29544246048997774,0.0974843917406743,0.12725995302419008
0.13398267594417754,0.16003954199335296,0.15099009577988295,0.2567906085338396,0.28294610833191464,0.1031849620661899,0.11356305863930286
0.1347342833418482,0.15820397025741145,0.15777080940613328,0.2755050600304046,0.2580580157883052,0.1258438461500199,0.11455382761172621
0.13619828705530507,0.15264517902902938,0.1509311774510162,0.28230686149365586,0.22877046172564827,0.13855250401790153,0.11989351635731126
0.13728859538721028,0.15805947988203764,0.1739708493187686,0.2689561547143612,0.22222026547431006,0.1354979710070099,0.12655647382815202
0.1387932131275378,0.16782054832336313,0.17824254836645476,0.27536458358999727,0.2008884774294249,0.12912394250510265,0.13404609063852993
0.13482914023637926,0.1693551289045655,0.17625494113102258,0.28270823800656836,0.19145810408657957,0.10174528749899768,0.11389663206925765
0.13578673476351266,0.1708782127193961,0.17813524148780666,0.3029886643124588,0.1941910323817626,0.09966941053591273,0.13594583447301894
0.13404548816481726,0.1676200399372731,0.18150048893250895,0.3102281728141636,0.18925566477838948,0.08425470411061432,0.13706153810058816
