,LEFT_HIP_x_back,RIGHT_HIP_x_back,LEFT_KNEE_x_back,RIGHT_KNEE_x_back,LEFT_ANKLE_x_back,RIGHT_ANKLE_x_back,LEFT_HEEL_x_back,RIGHT_HEEL_x_back,LEFT_FOOT_INDEX_x_back,RIGHT_FOOT_INDEX_x_back,LEFT_HIP_x_site,RIGHT_HIP_x_site,LEFT_KNEE_x_site,RIGHT_KNEE_x_site,LEFT_ANKLE_x_site,RIGHT_ANKLE_x_site,LEFT_HEEL_x_site,RIGHT_HEEL_x_site,LEFT_FOOT_INDEX_x_site,RIGHT_FOOT_INDEX_x_site,LEFT_HIP_y_site,RIGHT_HIP_y_site,LEFT_KNEE_y_site,RIGHT_KNEE_y_site,LEFT_ANKLE_y_site,RIGHT_ANKLE_y_site,LEFT_HEEL_y_site,RIGHT_HEEL_y_site,LEFT_FOOT_INDEX_y_site,RIGHT_FOOT_INDEX_y_site
1135,0.4536202847957611,0.5914896130561829,0.4628200232982635,0.5763333439826965,0.4942514598369598,0.5475144386291504,0.4957745671272278,0.5380266904830933,0.5142703652381897,0.5595636367797852,0.4068104028701782,0.4350661933422088,0.2995166778564453,0.4845848977565765,0.279559850692749,0.6677795052528381,0.3001962006092071,0.7106193900108337,0.1682606041431427,0.6545922756195068,0.4957790970802307,0.4963491559028625,0.6243851184844971,0.6224735975265503,0.7578286528587341,0.7051163911819458,0.7853285670280457,0.7063665390014648,0.7658950090408325,0.7772528529167175
1136,0.453091412782669,0.5917667746543884,0.4627173840999603,0.5774394869804382,0.4974011480808258,0.5659050941467285,0.5007119178771973,0.5520017147064209,0.5152488350868225,0.5673690438270569,0.4005365669727325,0.4308631122112274,0.3038406372070312,0.4738446772098541,0.3118779063224792,0.6631699800491333,0.339260071516037,0.7050584554672241,0.2023115456104278,0.6671274900436401,0.4990069270133972,0.4992412328720093,0.6271113753318787,0.627659022808075,0.7653795480728149,0.6957217454910278,0.7905356884002686,0.6913871765136719,0.7765978574752808,0.7668653726577759
1137,0.4528229534626007,0.5912393927574158,0.4615569710731506,0.574474573135376,0.4989052712917328,0.5774230360984802,0.5033080577850342,0.5674448609352112,0.5157100558280945,0.5760283470153809,0.4001402556896209,0.419591873884201,0.3154676854610443,0.4484411180019378,0.3436105251312256,0.6464994549751282,0.3757027983665466,0.6894010901451111,0.2374055087566375,0.6646878719329834,0.5075000524520874,0.504120945930481,0.6357739567756653,0.6348255276679993,0.7625736594200134,0.6890775561332703,0.7860856652259827,0.6815888285636902,0.7909108996391296,0.7582362294197083
1138,0.4506169855594635,0.587129533290863,0.4621182084083557,0.5726767182350159,0.4986927807331085,0.5798364281654358,0.5019620656967163,0.5726467967033386,0.5256224870681763,0.5893596410751343,0.3993201553821563,0.4181416928768158,0.3225944936275482,0.4140680432319641,0.377061128616333,0.6252683997154236,0.4160070419311523,0.6691715121269226,0.2458069622516632,0.6345539689064026,0.5141562819480896,0.5081927180290222,0.6437514424324036,0.6380012631416321,0.765234112739563,0.6838103532791138,0.786479115486145,0.6762911081314087,0.7985462546348572,0.7541151642799377
1139,0.4504613578319549,0.5873151421546936,0.4624729454517364,0.5710200071334839,0.4994043409824371,0.5853954553604126,0.5021632313728333,0.5824334621429443,0.5207351446151733,0.5897384285926819,0.3977559506893158,0.4174593985080719,0.3379663527011871,0.3896117806434631,0.4353401958942413,0.591717004776001,0.4757501184940338,0.6424090266227722,0.3333219885826111,0.6158859133720398,0.5187070369720459,0.5114069581031799,0.6477100253105164,0.6378619074821472,0.7656747698783875,0.6877651214599609,0.7840594053268433,0.6849369406700134,0.7987298965454102,0.753947913646698
1140,0.4500516355037689,0.5846782922744751,0.4624012410640716,0.5708717107772827,0.4994710385799408,0.5874513387680054,0.5021763443946838,0.5857008099555969,0.5192646384239197,0.594639241695404,0.4034926891326904,0.4217185974121094,0.3381259739398956,0.3880928456783294,0.4725127816200256,0.5468994379043579,0.5090029835700989,0.6032366156578064,0.389759212732315,0.5145948529243469,0.521392822265625,0.5150656700134277,0.6456930041313171,0.637596845626831,0.7624446749687195,0.6941883563995361,0.7819795608520508,0.6922948956489563,0.7967239022254944,0.7543456554412842
1141,0.4506371915340423,0.5839759111404419,0.4622164368629455,0.5689744353294373,0.4980243742465973,0.5841118693351746,0.4996968507766723,0.5804604291915894,0.5179508328437805,0.5893264412879944,0.4213729798793793,0.4079674184322357,0.3893780708312988,0.3326594233512878,0.5059403777122498,0.48555988073349,0.5532532334327698,0.5257754921913147,0.4213177263736725,0.423925906419754,0.525261640548706,0.5210710763931274,0.6470749974250793,0.6297129988670349,0.7574161887168884,0.7046329975128174,0.7811790108680725,0.7155921459197998,0.7960744500160217,0.755703866481781
1142,0.4521796107292175,0.5861518979072571,0.4621157050132751,0.5689823627471924,0.497933954000473,0.5820426344871521,0.4999094009399414,0.5783541202545166,0.5155532360076904,0.5823802947998047,0.4263458251953125,0.3966857492923736,0.4522558450698852,0.3030127882957458,0.5507140159606934,0.4408470392227173,0.5998367667198181,0.4772060215473175,0.4647141695022583,0.3648316860198974,0.5234843492507935,0.5203052163124084,0.6471300721168518,0.617955207824707,0.7568522691726685,0.7145276665687561,0.7798904776573181,0.7300998568534851,0.7947112321853638,0.7582200765609741
1143,0.4535527229309082,0.5907025933265686,0.4613828361034393,0.5690287351608276,0.497779905796051,0.5726109743118286,0.4997875690460205,0.5708757638931274,0.507197916507721,0.5450972318649292,0.4303316473960876,0.3877952694892883,0.4772416353225708,0.2941726446151733,0.5935837626457214,0.3721957504749298,0.6334055066108704,0.3967049717903137,0.5068805813789368,0.2803094685077667,0.5205039381980896,0.5194399356842041,0.6439134478569031,0.6095653176307678,0.7522258758544922,0.7263852953910828,0.773728609085083,0.7488449811935425,0.7940244674682617,0.7584183812141418
1144,0.4540128707885742,0.5922514200210571,0.4602653384208679,0.5697771310806274,0.4976079165935516,0.5619586110115051,0.5008665919303894,0.5619941353797913,0.5054726004600525,0.5369142293930054,0.4298235774040222,0.3901692926883697,0.4949252605438232,0.3060044348239898,0.623161792755127,0.3097817003726959,0.6717721223831177,0.3265728056430816,0.5476566553115845,0.2078693360090255,0.5151580572128296,0.5148228406906128,0.6374489068984985,0.6089527606964111,0.7411991953849792,0.7384241819381714,0.7607778310775757,0.7698296308517456,0.7939575910568237,0.7536389231681824
