,LEFT_HIP_x_back,RIGHT_HIP_x_back,LEFT_KNEE_x_back,RIGHT_KNEE_x_back,LEFT_ANKLE_x_back,RIGHT_ANKLE_x_back,LEFT_HEEL_x_back,RIGHT_HEEL_x_back,LEFT_FOOT_INDEX_x_back,RIGHT_FOOT_INDEX_x_back,LEFT_HIP_y_back,RIGHT_HIP_y_back,LEFT_KNEE_y_back,RIGHT_KNEE_y_back,LEFT_ANKLE_y_back,RIGHT_ANKLE_y_back,LEFT_HEEL_y_back,RIGHT_HEEL_y_back,LEFT_FOOT_INDEX_y_back,RIGHT_FOOT_INDEX_y_back,LEFT_HIP_x_site,RIGHT_HIP_x_site,LEFT_KNEE_x_site,RIGHT_KNEE_x_site,LEFT_ANKLE_x_site,RIGHT_ANKLE_x_site,LEFT_HEEL_x_site,RIGHT_HEEL_x_site,LEFT_FOOT_INDEX_x_site,RIGHT_FOOT_INDEX_x_site,LEFT_HIP_y_site,RIGHT_HIP_y_site,LEFT_KNEE_y_site,RIGHT_KNEE_y_site,LEFT_ANKLE_y_site,RIGHT_ANKLE_y_site,LEFT_HEEL_y_site,RIGHT_HEEL_y_site,LEFT_FOOT_INDEX_y_site,RIGHT_FOOT_INDEX_y_site
1339,0.4457083344459533,0.5525093078613281,0.4610646069049835,0.5370196104049683,0.4790656864643097,0.5419793725013733,0.4860378205776214,0.5447457432746887,0.4875518679618835,0.5236714482307434,0.4775452613830566,0.4705849587917328,0.6200453639030457,0.5962049961090088,0.7550423741340637,0.7087307572364807,0.7783215045928955,0.7268790006637573,0.7654249668121338,0.718521773815155,0.2868514060974121,0.2947783172130584,0.3435924351215362,0.2070279568433761,0.4690394401550293,0.2673292756080627,0.5186833143234253,0.2908616662025451,0.3925461173057556,0.1845558732748031,0.5096778869628906,0.5065567493438721,0.6363198161125183,0.6145684123039246,0.7569189667701721,0.7343365550041199,0.770426332950592,0.7593351006507874,0.7944149374961853,0.7604234218597412
1340,0.4467457234859466,0.5535656213760376,0.4561856687068939,0.5331715941429138,0.4689595699310303,0.5303507447242737,0.4782680869102478,0.5372393131256104,0.483236700296402,0.5180936455726624,0.4703339338302612,0.464224249124527,0.6146386861801147,0.5938349366188049,0.7532426714897156,0.707895815372467,0.7756103277206421,0.7256562113761902,0.763757050037384,0.719020664691925,0.2875647246837616,0.2903395295143127,0.3477141559123993,0.2040368765592575,0.4815945029258728,0.2314437925815582,0.5312838554382324,0.2554315626621246,0.422666996717453,0.125366136431694,0.5054842233657837,0.505242109298706,0.6322486996650696,0.6135125756263733,0.7490413188934326,0.7401667237281799,0.757675051689148,0.7717839479446411,0.795607328414917,0.7578207850456238
1341,0.4460802674293518,0.5535325407981873,0.4544227123260498,0.5314357876777649,0.4581475555896759,0.5232996344566345,0.4607437551021576,0.529496431350708,0.4687130451202392,0.5071220993995667,0.4646597504615783,0.4578477442264557,0.6086581349372864,0.5914037227630615,0.7518332600593567,0.7054498195648193,0.7739423513412476,0.7207695245742798,0.7614899277687073,0.7187066674232483,0.282054603099823,0.2873332798480987,0.3330309987068176,0.2099940478801727,0.490718811750412,0.1895511448383331,0.5389646291732788,0.2072514146566391,0.4563985168933868,0.0738197043538093,0.5020179152488708,0.501059353351593,0.6278659105300903,0.6149052977561951,0.7415555715560913,0.7522752285003662,0.7446015477180481,0.7846004366874695,0.7964915037155151,0.7569096684455872
1342,0.4459760189056396,0.553494930267334,0.4529433250427246,0.5269176959991455,0.4470429122447967,0.5083058476448059,0.4396146237850189,0.5017789602279663,0.4582095742225647,0.4983556568622589,0.4646719098091125,0.4601844251155853,0.6054147481918335,0.592056393623352,0.7361059784889221,0.706498384475708,0.7540697455406189,0.7222265601158142,0.7614583373069763,0.7209039330482483,0.2695987820625305,0.2894873023033142,0.3197384774684906,0.2264516204595565,0.4952471256256103,0.1823336780071258,0.5429995059967041,0.1972163468599319,0.4386377930641174,0.0782752558588981,0.5008609294891357,0.4999495148658752,0.6288760900497437,0.6154136657714844,0.7325047850608826,0.7514201402664185,0.7348382472991943,0.7854494452476501,0.7738460898399353,0.7515317797660828
1343,0.4454416930675506,0.5536690950393677,0.4497695565223694,0.5229707360267639,0.4337674677371979,0.5023017525672913,0.4273027181625366,0.5014354586601257,0.4066873490810394,0.4858748316764831,0.4666429758071899,0.4623185396194458,0.6059158444404602,0.5981865525245667,0.7315585017204285,0.7143775224685669,0.7533089518547058,0.7425029277801514,0.7600679397583008,0.728064239025116,0.2652915120124817,0.2901699841022491,0.2915151119232178,0.2577619552612304,0.4855072498321533,0.260641872882843,0.5229418277740479,0.2920073866844177,0.4019412994384765,0.1952384114265442,0.5017308592796326,0.5010161995887756,0.6361685395240784,0.6235970854759216,0.7280651926994324,0.7485995888710022,0.7424942851066589,0.7734664082527161,0.7757213711738586,0.7754884362220764
1344,0.4453616738319397,0.5533607602119446,0.4480954110622406,0.518199622631073,0.4285252392292022,0.4979596734046936,0.4232671856880188,0.4974556267261505,0.3965275585651397,0.4852536916732788,0.4705778956413269,0.4700314700603485,0.6081424355506897,0.6062358021736145,0.7271623015403748,0.719514787197113,0.7490114569664001,0.7446050047874451,0.7557991147041321,0.732352077960968,0.2678649127483368,0.2906160056591034,0.225198745727539,0.265439510345459,0.2333517968654632,0.4690222144126892,0.2577588260173797,0.5216869711875916,0.1665004789829254,0.4731185138225555,0.5052353739738464,0.5052874088287354,0.636309802532196,0.6346524357795715,0.7564589381217957,0.7283424735069275,0.784730076789856,0.7259272933006287,0.7895088195800781,0.7770592570304871
1345,0.4443170726299286,0.5497671961784363,0.4467741549015045,0.5115781426429749,0.4254678785800934,0.4939042925834656,0.4201113879680633,0.4937984943389892,0.4125826954841614,0.486507385969162,0.4840008020401001,0.4842777848243713,0.6096211671829224,0.6094122529029846,0.7224308848381042,0.7206898927688599,0.7419793605804443,0.7432054281234741,0.7494000196456909,0.7346802353858948,0.2680732905864715,0.2880342900753021,0.2160580158233642,0.2453353255987167,0.3052019476890564,0.4204993844032287,0.3201289176940918,0.3256817758083343,0.2958538830280304,0.3515245318412781,0.5110908150672913,0.5161778926849365,0.635515570640564,0.6427577137947083,0.7394430041313171,0.7490275502204895,0.7463575005531311,0.784991979598999,0.7891475558280945,0.7917686700820923
1346,0.4442218542098999,0.5488195419311523,0.4418453574180603,0.5040301084518433,0.420161098241806,0.4915474653244018,0.4206146001815796,0.4938375949859619,0.3903472125530243,0.4839572012424469,0.4935100376605987,0.4932527542114258,0.6098943948745728,0.6108919382095337,0.7205981612205505,0.7240487933158875,0.7385253310203552,0.7463290691375732,0.7366197109222412,0.7348499894142151,0.2770832777023315,0.2560554444789886,0.2111433148384094,0.2219219654798507,0.4126988053321838,0.295504093170166,0.465657889842987,0.3035251498222351,0.4109490513801574,0.1974030882120132,0.5161773562431335,0.5197688341140747,0.6484369039535522,0.6465161442756653,0.7209533452987671,0.769681990146637,0.7179643511772156,0.7903393507003784,0.7829943299293518,0.7949038743972778
1347,0.4438572824001312,0.5445777177810669,0.4366507530212402,0.4976052045822143,0.4206966459751129,0.4891597628593445,0.4227944016456604,0.494395911693573,0.3789027035236358,0.4804004728794098,0.4944752156734466,0.4949774146080017,0.6099115014076233,0.6150252819061279,0.7196770906448364,0.7317827939987183,0.7365732789039612,0.7548182606697083,0.7335395216941833,0.7394936084747314,0.2836643159389496,0.2542641758918762,0.1941738277673721,0.2195467352867126,0.4007010459899902,0.300949364900589,0.4602341949939728,0.3124440014362335,0.379235565662384,0.2179134637117386,0.5197799801826477,0.5235956311225891,0.6497756242752075,0.6509347558021545,0.7216675877571106,0.7701164484024048,0.7195240259170532,0.7916836142539978,0.7795371413230896,0.8078623414039612
1348,0.4429274201393127,0.5444009304046631,0.4342024326324463,0.5004785656929016,0.4239369928836822,0.4921242594718933,0.4239825308322906,0.4969071447849273,0.3886481821537018,0.4746221899986267,0.4919180870056152,0.4915657341480255,0.6069836020469666,0.6142605543136597,0.7140003442764282,0.7371174693107605,0.7311864495277405,0.7598459124565125,0.7310937643051147,0.7440105676651001,0.2825454175472259,0.2600172758102417,0.1844982802867889,0.2130476087331771,0.3576650023460388,0.3185954391956329,0.411243736743927,0.3463051319122314,0.324930876493454,0.2511434853076935,0.5186573266983032,0.5220305323600769,0.6488231420516968,0.6485534310340881,0.7260482311248779,0.7593664526939392,0.7293283343315125,0.7667378187179565,0.7802610993385315,0.7991611957550049
